rank,path,overall,completeness,accuracy,readability
1,guides\api\README.md,85.0,100,85,70
2,guides\README.md,83.3,100,80,70
3,guides\getting-started.md,82.7,100,83,65
4,guides\tutorials\tutorial-02-controller-comparison.md,82.0,100,81,65
5,guides\INDEX.md,81.7,100,75,70
6,guides\tutorials\tutorial-03-pso-optimization.md,81.7,100,85,60
7,guides\theory\pso-theory.md,80.7,100,72,70
8,guides\tutorials\tutorial-01-first-simulation.md,80.3,100,81,60
9,guides\features\code-collapse\user-guide.md,80.0,90,75,75
10,guides\user-guide.md,79.7,100,79,60
11,guides\how-to\running-simulations.md,79.3,100,86,52
12,guides\api\configuration.md,79.0,100,80,57
13,guides\api\optimization.md,79.0,100,80,57
14,guides\api\simulation.md,79.0,100,80,57
15,guides\workflows\monte-carlo-validation-quickstart.md,79.0,100,80,57
16,guides\interactive\jupyter-notebooks-demo.md,78.7,100,76,60
17,guides\workflows\pso-optimization-workflow.md,78.7,100,81,55
18,guides\how-to\optimization-workflows.md,78.3,100,88,47
19,guides\icon_usage_guide.md,78.3,85,80,70
20,guides\features\code-collapse\troubleshooting.md,78.0,70,79,85
21,guides\sphinx_theme_guide.md,78.0,85,79,70
22,guides\how-to\result-analysis.md,77.3,100,80,52
23,guides\how-to\testing-validation.md,77.0,100,84,47
24,guides\theory\dip-dynamics.md,77.0,100,71,60
25,guides\features\code-collapse\PHASE6_COMPLETION_SUMMARY.md,76.7,100,70,60
26,guides\interactive\index.md,76.7,85,80,65
27,guides\interactive\live-python-demo.md,76.7,100,70,60
28,guides\interactive_visualizations.md,76.7,93,77,60
29,guides\features\code-collapse\maintenance-guide.md,76.3,70,79,80
30,guides\api\plant-models.md,76.0,100,78,50
31,guides\getting-started-validation-report.md,76.0,85,78,65
32,guides\how-to\robust-pso-optimization.md,76.0,90,78,60
33,guides\tutorials\tutorial-01-validation-report.md,76.0,85,78,65
34,guides\api\utilities.md,75.7,100,80,47
35,guides\interactive\mathematical-visualizations-demo.md,75.7,100,72,55
36,guides\workflows\hil-workflow.md,75.7,90,77,60
37,guides\workflows\pso-sta-smc.md,75.7,100,77,50
38,guides\api\controllers.md,75.3,100,79,47
39,guides\interactive\plotly-charts-demo.md,75.0,100,70,55
40,guides\theory\README.md,75.0,75,80,70
41,guides\tutorials\tutorial-05-research-workflow.md,75.0,100,83,42
42,guides\workflows\batch-simulation-workflow.md,74.7,90,77,57
43,guides\features\code-collapse\integration-guide.md,74.0,78,74,70
44,guides\theory\smc-theory.md,74.0,100,72,50
45,guides\QUICK_REFERENCE.md,73.7,85,79,57
46,guides\workflows\streamlit-theme-integration.md,73.7,85,79,57
47,guides\features\README.md,73.3,65,95,60
48,guides\interactive_configuration_guide.md,72.7,85,76,57
49,guides\interactive\3d-pendulum-demo.md,72.3,100,70,47
50,guides\features\code-collapse\technical-reference.md,71.3,70,79,65
51,guides\tutorials\tutorial-04-custom-controller.md,70.3,100,59,52
52,guides\features\code-collapse\changelog.md,66.7,50,90,60
53,guides\features\code-collapse\configuration-reference.md,65.0,70,80,45
54,guides\workflows\custom-cost-functions.md,59.3,28,100,50
55,guides\workflows\hil-disaster-recovery.md,56.0,18,100,50
56,guides\workflows\hil-multi-machine.md,56.0,18,100,50
57,guides\workflows\hil-production-checklist.md,56.0,18,100,50
58,guides\workflows\hil-safety-validation.md,56.0,18,100,50
59,guides\workflows\pso-adaptive-smc.md,56.0,18,100,50
60,guides\workflows\pso-hil-tuning.md,56.0,18,100,50
61,guides\workflows\pso-vs-grid-search.md,56.0,18,100,50
62,guides\workflows\pso-hybrid-smc.md,54.3,18,100,45
