iteration,best_fitness,mean_fitness,global_best_fitness,best_epsilon_min,best_alpha
1,6.547732991139259,8.109072455947762,6.547732991139259,0.02824279936868144,1.5703519227860272
2,6.489887886947963,7.326103906815622,6.489887886947963,0.043891333117367454,1.5606051846626168
3,6.729961902589084,7.919671896853005,6.489887886947963,0.043891333117367454,1.5606051846626168
4,6.465469868964356,7.400498073837625,6.465469868964356,0.05,1.8047059741738722
5,6.5809137499160535,7.801458958961833,6.465469868964356,0.05,1.8047059741738722
6,6.4918963408941295,7.80998766579653,6.465469868964356,0.05,1.8047059741738722
7,6.684366615746579,7.609465699680779,6.465469868964356,0.05,1.8047059741738722
8,6.6958080287947475,7.8190914771891125,6.465469868964356,0.05,1.8047059741738722
9,6.470518321295923,7.720744182133199,6.465469868964356,0.05,1.8047059741738722
10,6.529423937550706,7.966991193633648,6.465469868964356,0.05,1.8047059741738722
11,6.694342104667648,8.018406742045265,6.465469868964356,0.05,1.8047059741738722
12,6.410056428291956,8.155414041356916,6.410056428291956,0.05,1.8145555514125051
13,6.671761970028133,7.674136803089146,6.410056428291956,0.05,1.8145555514125051
14,6.856337321315874,7.945054713331943,6.410056428291956,0.05,1.8145555514125051
15,6.504489457584422,7.664621553861262,6.410056428291956,0.05,1.8145555514125051
16,6.766096498672474,7.755821369402259,6.410056428291956,0.05,1.8145555514125051
17,6.730383047843064,8.115165244448335,6.410056428291956,0.05,1.8145555514125051
18,6.6707361328818555,7.63920375225719,6.410056428291956,0.05,1.8145555514125051
19,6.666804225566792,8.145890382610677,6.410056428291956,0.05,1.8145555514125051
20,6.578400263162916,7.627557889452533,6.410056428291956,0.05,1.8145555514125051
21,6.696833384047488,7.356903670380008,6.410056428291956,0.05,1.8145555514125051
22,6.591726461923595,7.7750671179538875,6.410056428291956,0.05,1.8145555514125051
23,6.716974069356234,7.893115748116345,6.410056428291956,0.05,1.8145555514125051
24,6.579296886874432,7.8138505220908865,6.410056428291956,0.05,1.8145555514125051
25,6.710723256135339,7.907049478532846,6.410056428291956,0.05,1.8145555514125051
26,6.784458160305421,7.469756232119616,6.410056428291956,0.05,1.8145555514125051
27,6.680350360485629,7.940059848009416,6.410056428291956,0.05,1.8145555514125051
28,6.666787052159416,7.913271730449026,6.410056428291956,0.05,1.8145555514125051
29,6.688516866694711,7.652349376665103,6.410056428291956,0.05,1.8145555514125051
30,6.307613341546217,7.520022009870335,6.307613341546217,0.04481637849063004,1.9168963930603626
31,6.72386565521827,7.668582173305251,6.307613341546217,0.04481637849063004,1.9168963930603626
32,6.716679362311393,7.94874505620415,6.307613341546217,0.04481637849063004,1.9168963930603626
33,6.62198041961369,7.650248248551626,6.307613341546217,0.04481637849063004,1.9168963930603626
34,6.7568893225180675,7.54569874450932,6.307613341546217,0.04481637849063004,1.9168963930603626
35,6.466681182396542,7.773826759890423,6.307613341546217,0.04481637849063004,1.9168963930603626
36,6.670991314385727,7.630519813124293,6.307613341546217,0.04481637849063004,1.9168963930603626
37,6.637848600135266,7.439864779159531,6.307613341546217,0.04481637849063004,1.9168963930603626
38,6.473496001445845,7.456139207413048,6.307613341546217,0.04481637849063004,1.9168963930603626
39,6.450602873615179,7.913155590197446,6.307613341546217,0.04481637849063004,1.9168963930603626
40,6.559249239201559,7.523685234861554,6.307613341546217,0.04481637849063004,1.9168963930603626
41,6.75829424503144,7.819253354377389,6.307613341546217,0.04481637849063004,1.9168963930603626
42,6.87459894027179,7.816346165580803,6.307613341546217,0.04481637849063004,1.9168963930603626
43,6.580029501444673,8.027936526557962,6.307613341546217,0.04481637849063004,1.9168963930603626
44,6.500845156756401,7.912216643215747,6.307613341546217,0.04481637849063004,1.9168963930603626
45,6.544659779974668,7.669826953234396,6.307613341546217,0.04481637849063004,1.9168963930603626
46,6.721586586270414,7.690285534495162,6.307613341546217,0.04481637849063004,1.9168963930603626
47,6.372497845045358,7.620675964378649,6.307613341546217,0.04481637849063004,1.9168963930603626
48,6.782531147852781,8.081731671577261,6.307613341546217,0.04481637849063004,1.9168963930603626
49,6.626754841096386,7.597494075624345,6.307613341546217,0.04481637849063004,1.9168963930603626
50,6.553588319998687,7.818395939171824,6.307613341546217,0.04481637849063004,1.9168963930603626
