Controller,Gain Index,Original,Optimized,Change (%),Absolute Change
Classical Smc,k1,23.068201,29.696434,28.733204,6.628233
Classical Smc,k2,12.853587,8.347902,-35.053908,-4.505684
Classical Smc,k3,5.514970,4.790693,-13.132935,-0.724277
Classical Smc,k4,3.487196,2.533200,-27.357128,-0.953997
Classical Smc,k5,2.233107,1.233798,-44.749745,-0.999310
Classical Smc,k6,0.148348,0.082664,-44.277200,-0.065684
Adaptive Smc,k1,2.142208,1.181817,-44.831828,-0.960391
Adaptive Smc,k2,3.355938,3.461163,3.135463,0.105224
Adaptive Smc,k3,7.200506,7.493099,4.063512,0.292593
Adaptive Smc,k4,0.337438,0.383812,13.742990,0.046374
Adaptive Smc,k5,0.285204,0.349687,22.609133,0.064482
Hybrid Adaptive Sta Smc,k1,10.148979,14.619184,44.045858,4.470205
Hybrid Adaptive Sta Smc,k2,12.839387,18.667551,45.392858,5.828164
Hybrid Adaptive Sta Smc,k3,6.815066,9.642394,41.486439,2.827328
Hybrid Adaptive Sta Smc,k4,2.750014,2.392948,-12.984130,-0.357065
