Priority,Research_Status,Category,Type,Has_Citation,Claim_ID,Research_Description,Full_Claim_Text,Suggested_Citation,BibTeX_Key,DOI_or_URL,Reference_Type,Research_Notes,File_Path,Line_Number,Scope,Existing_Citation_Format,Confidence
CRITICAL,,theoretical,theorem,NO,FORMAL-THEOREM-001,Hysteresis with deadband $\delta$ prevents oscillation for residuals with bounded derivative.,Hysteresis with deadband $\delta$ prevents oscillation for residuals with bounded derivative.,,,,,,docs/fdi_threshold_calibration_methodology.md,261,,,0.8
CRITICAL,,theoretical,theorem,NO,FORMAL-THEOREM-004,The PSO-optimized gains ensure global asymptotic stability of the DIP system.,The PSO-optimized gains ensure global asymptotic stability of the DIP system.,,,,,,docs/pso_gain_bounds_mathematical_foundations.md,733,,,1.0
CRITICAL,,theoretical,theorem,NO,FORMAL-THEOREM-005,The PSO-optimized gains maintain Lyapunov stability for the closed-loop DIP system.,The PSO-optimized gains maintain Lyapunov stability for the closed-loop DIP system.,,,,,,docs/pso_integration_technical_specification.md,875,,,0.9
CRITICAL,,theoretical,theorem,NO,FORMAL-THEOREM-008,The particle converges to a stable trajectory if:,The particle converges to a stable trajectory if:,,,,,,docs/theory/pso_optimization_complete.md,86,,,0.9
CRITICAL,,theoretical,theorem,NO,FORMAL-THEOREM-010,"Under the stability condition and with decreasing inertia weight, PSO converges to the global optimum with probability 1 for unimodal functions.","Under the stability condition and with decreasing inertia weight, PSO converges to the global optimum with probability 1 for unimodal functions.",,,,,,docs/theory/pso_optimization_complete.md,115,,,0.9
CRITICAL,completed,theoretical,theorem,NO,FORMAL-THEOREM-016,"If all sliding surface parameters $c_i > 0$, then the sliding surface dynamics are exponentially stable with convergence rates determined by $c_i$.","If all sliding surface parameters $c_i > 0$, then the sliding surface dynamics are exponentially stable with convergence rates determined by $c_i$.",Shtessel et al. (2013),shtessel2013sliding,10.1007/978-0-8176-4893-0_1,book,"Chapter 1 of Shtessel’s textbook introduces the sliding variable (σ=x_2+c,x_1) with (c>0). The authors derive the desired dynamics ( \dot{x}_1 + c x_1 =0) and solve it to get (x_1(t)=x_1(0)e^{-ct}) and (x_2(t)=-c,x_1(0)e^{-ct}), noting that both states converge exponentially at a rate (c). They explain that driving (σ) to zero in finite time produces these exponential dynamics with convergence rates determined by the positive parameter (c).",docs/theory/smc_theory_complete.md,71,,,0.9
CRITICAL,completed,theoretical,theorem,NO,FORMAL-THEOREM-019,"Under the reaching condition {eq}`eq:reaching_condition`, the system reaches the sliding surface in finite time bounded by:","Under the reaching condition {eq}`eq:reaching_condition`, the system reaches the sliding surface in finite time bounded by:",Slotine & Li (1991),slotine1991applied,,book,"In the sliding‑mode chapter of *Applied Nonlinear Control*, Slotine and Li derive the reaching condition ( \tfrac{\mathrm{d}}{\mathrm{d}t}\tfrac{1}{2}s^2 \le -\eta ) with (\eta>0). Integrating this inequality shows that the trajectory reaches the sliding surface in finite time bounded by (t_{\mathrm{reach}} \le |s(0)|/\eta). This provides a formal bound on the time required to reach the sliding surface under the reaching condition.",docs/theory/smc_theory_complete.md,132,,,0.9
CRITICAL,completed,theoretical,theorem,NO,FORMAL-THEOREM-020,The classical SMC law {eq}`eq:classical_smc_structure` with switching gain $\eta > \rho$ (where $\rho$ is the uncertainty bound) ensures global finite...,The classical SMC law {eq}`eq:classical_smc_structure` with switching gain $\eta > \rho$ (where $\rho$ is the uncertainty bound) ensures global finite-time convergence to the sliding surface.,Shtessel et al. (2013),shtessel2013sliding,10.1007/978-0-8176-4893-0_1,book,"Same source as Claim 1. In the same chapter, Shtessel and co‑authors propose a sliding‑mode control law (u=-c,x_2-\varphi,\mathrm{sign}(σ)) and show that the control gain (\varphi) must exceed the disturbance bound (L) by choosing (\varphi = L + \alpha\sqrt{2}). They remark that the first term (L) compensates for the bounded uncertainty while the additional term (\alpha\sqrt{2}) determines the reaching time; a larger (\alpha) yields a shorter finite‑time convergence to the sliding surface. This classical result demonstrates that choosing the switching gain greater than the uncertainty bound guarantees finite‑time convergence.",docs/theory/smc_theory_complete.md,160,,,0.9
CRITICAL,,theoretical,theorem,NO,FORMAL-THEOREM-021,"The super-twisting algorithm ensures finite-time convergence to the second-order sliding set $\{s = 0, \dot{s} = 0\}$ if the parameters satisfy:","The super-twisting algorithm ensures finite-time convergence to the second-order sliding set $\{s = 0, \dot{s} = 0\}$ if the parameters satisfy:",,,,,,docs/theory/smc_theory_complete.md,206,,,0.9
CRITICAL,,theoretical,theorem,NO,FORMAL-THEOREM-022,The adaptive control law {eq}`eq:adaptive_smc_law` ensures:,The adaptive control law {eq}`eq:adaptive_smc_law` ensures:,,,,,,docs/theory/smc_theory_complete.md,270,,,0.9
CRITICAL,completed,theoretical,theorem,NO,FORMAL-THEOREM-023,"With the boundary layer method, the tracking error is ultimately bounded by:","With the boundary layer method, the tracking error is ultimately bounded by:",Slotine & Li (1991),slotine1991applied,,book,"Same source as Claim 2. To mitigate chattering, Slotine and Li introduce a boundary layer of thickness (\phi) around the sliding surface and replace the discontinuous sign function with (s/\phi) within this layer. They prove that this boundary‑layer method makes the layer attractive and ensures that the tracking error components satisfy (|x_i(t)| \le 2\lambda,\varepsilon) for (i=0,\dots,n-1), where (\varepsilon) is proportional to (\phi). Thus, the tracking error is ultimately bounded by a constant determined by the boundary‑layer width, providing a practical bound on the steady‑state error.",docs/theory/smc_theory_complete.md,322,,,0.9
HIGH,,implementation,implementation,NO,CODE-IMPL-001,None (attributed to: None),Professional analysis framework for control system evaluation and validation,,,,,,src\analysis\__init__.py,1,module,,0.65
HIGH,completed,implementation,implementation,NO,CODE-IMPL-002,for a specific (attributed to: None),Determine the winning method for a specific metric,,,,,STRATEGIC_PHASE2: Analysis/implementation code (no theory cited),src\analysis\core\data_structures.py,242,module:class:ComparisonResult:function:get_winner,,0.65
HIGH,completed,implementation,implementation,NO,CODE-IMPL-003,None (attributed to: None),List of validation methods supported,,,,,STRATEGIC_PHASE2: Analysis/implementation code (no theory cited),src\analysis\core\interfaces.py,192,module:class:StatisticalValidator:function:validation_methods,,0.65
HIGH,completed,implementation,implementation,NO,CODE-IMPL-004,None (attributed to: None),Base implementation of metric calculator with common functionality,,,,,STRATEGIC_PHASE2: Analysis/implementation code (no theory cited),src\analysis\core\metrics.py,23,module:class:BaseMetricCalculator,,0.65
HIGH,completed,implementation,implementation,NO,CODE-IMPL-005,None (attributed to: None),Protocol defining the expected interface for dynamics models,,,,,STRATEGIC_PHASE2: Analysis/implementation code (no theory cited),src\analysis\fault_detection\fdi.py,13,module:class:DynamicsProtocol,,0.65
HIGH,completed,implementation,implementation,NO,CODE-IMPL-007,"for prediction
    
Returns (attributed to: None)",Check for a fault at the current time step,,,,,STRATEGIC_PHASE2: Analysis/implementation code (no theory cited),src\analysis\fault_detection\fdi.py,171,module:class:FDIsystem:function:check,,0.65
HIGH,,implementation,implementation,NO,CODE-IMPL-008,None (attributed to: None),Protocol defining the interface for fault detection systems,,,,,,src\analysis\fault_detection\fdi.py,393,module:class:FaultDetectionInterface,,0.65
HIGH,,implementation,implementation,NO,CODE-IMPL-010,None (attributed to: None),Verify that FDIsystem correctly implements FaultDetectionInterface,,,,,,src\analysis\fault_detection\fdi.py,426,module:function:_verify_interface,,0.65
HIGH,,implementation,implementation,NO,CODE-IMPL-011,None (attributed to: None),Enhanced fault detection and isolation system,,,,,,src\analysis\fault_detection\fdi_system.py,1,module,,0.65
HIGH,completed,implementation,implementation,NO,CODE-IMPL-012,None (attributed to: None),Enumeration of detection methods,,,,,STRATEGIC_PHASE2: Analysis/implementation code (no theory cited),src\analysis\fault_detection\fdi_system.py,36,module:class:DetectionMethod,,0.65
HIGH,completed,implementation,implementation,NO,CODE-IMPL-013,None (attributed to: None),Detect outliers using statistical methods,,,,,STRATEGIC_PHASE2: Analysis/implementation code (no theory cited),src\analysis\fault_detection\fdi_system.py,602,module:class:EnhancedFaultDetector:function:_detect_outliers,,0.65
HIGH,completed,implementation,implementation,NO,CODE-IMPL-014,None (attributed to: None),Detect change points using statistical methods,,,,,STRATEGIC_PHASE2: Analysis/implementation code (no theory cited),src\analysis\fault_detection\fdi_system.py,627,module:class:EnhancedFaultDetector:function:_detect_change_points_statistical,,0.65
HIGH,completed,implementation,implementation,NO,CODE-IMPL-015,None (attributed to: None),Heuristic fault classification based on features,,,,,STRATEGIC_PHASE2: Analysis/implementation code (no theory cited),src\analysis\fault_detection\fdi_system.py,834,module:class:EnhancedFaultDetector:function:_classify_heuristic,,0.65
HIGH,completed,implementation,implementation,NO,CODE-IMPL-016,None (attributed to: None),Compute severity based on statistical anomalies,,,,,STRATEGIC_PHASE2: Analysis/implementation code (no theory cited),src\analysis\fault_detection\fdi_system.py,875,module:class:EnhancedFaultDetector:function:_compute_statistical_severity,,0.65
HIGH,,implementation,implementation,NO,CODE-IMPL-018,None (attributed to: None),Model-based residual generation for fault detection,,,,,,src\analysis\fault_detection\residual_generators.py,1,module,,0.65
HIGH,,implementation,implementation,NO,CODE-IMPL-019,None (attributed to: None),Adaptive residual generator that combines multiple methods,,,,,,src\analysis\fault_detection\residual_generators.py,535,module:class:AdaptiveResidualGenerator,,0.65
HIGH,,implementation,implementation,NO,CODE-IMPL-020,None (attributed to: None),Generate adaptive residual by combining multiple methods,,,,,,src\analysis\fault_detection\residual_generators.py,556,module:class:AdaptiveResidualGenerator:function:generate_residual,,0.65
HIGH,,implementation,implementation,NO,CODE-IMPL-021,Returns (attributed to: None),Factory function to create residual generators,,,,,,src\analysis\fault_detection\residual_generators.py,617,module:function:create_residual_generator,,0.65
HIGH,,implementation,implementation,NO,CODE-IMPL-022,Returns (attributed to: None),Create a residual generator of the specified type,,,,,,src\analysis\fault_detection\residual_generators.py,687,module:class:ResidualGeneratorFactory:function:create_generator,,0.65
HIGH,,implementation,implementation,NO,CODE-IMPL-023,None (attributed to: None),Get list of available residual generation methods,,,,,,src\analysis\fault_detection\residual_generators.py,708,module:class:ResidualGeneratorFactory:function:get_available_methods,,0.65
HIGH,,implementation,implementation,NO,CODE-IMPL-024,None (attributed to: None),Adaptive threshold methods for fault detection,,,,,,src\analysis\fault_detection\threshold_adapters.py,1,module,,0.65
